Vehicle Model,Body Style,Engine Specs,Transmission Type,Fuel Type,Price (INR Lakhs),Mileage,Mileage Unit,Seating Capacity,Drivetrain,Safety Features
Ford Mondeo,Sedan,2.0L EcoBoost I4 (245 HP / 275 lb-ft torque),8-speed Automatic,Petrol,25,14,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Adaptive Cruise Control; Rear Cross-Traffic Alert; Rear View Camera
Ford Expedition,SUV,3.5L EcoBoost V6 (375 HP / 470 lb-ft torque) or 3.5L PowerBoost V6 Hybrid (440 HP / 510 lb-ft torque),10-speed Automatic,Petrol,75,8,km/l,7,4WD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Trailer Backup Assist; 360-Degree Camera; Adaptive Cruise Control
Ford Explorer,SUV,2.3L EcoBoost I4 (300 HP) or 3.0L EcoBoost V6 (400 HP) or 3.3L V6 Hybrid (318 HP),10-speed Automatic,Petrol,50,10,km/l,7,AWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear Cross-Traffic Alert; Post-Collision Braking; Evasive Steering Assist
Ford Explorer EV,SUV,Dual Electric Motor AWD (286 HP / 402 lb-ft torque),Single-Speed Automatic (EV),Electric,50,480,km/charge,5,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pedestrian Detection; Traffic Sign Recognition; Rear View Camera
Ford Mondeo Sport,SUV,2.0L EcoBoost I4 (238 HP / 258 lb-ft torque),8-speed Automatic,Petrol,27,14,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Lane Departure Warning; Rear Cross-Traffic Alert; Adaptive Cruise Control
Ford Mustang Mach-E,SUV,Single Rear Motor (269 HP) or Dual Motor AWD GT (480 HP / 634 lb-ft torque),Single-Speed Automatic (EV),Electric,70,500,km/charge,5,AWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pedestrian Detection; Evasive Steering Assist; Adaptive Cruise Control
Ford Puma,SUV,1.0L EcoBoost I3 Mild Hybrid (125 HP or 155 HP / 170 lb-ft torque),6-speed Manual / 7-speed Dual-Clutch Automatic,Petrol,20,18,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Lane Departure Warning; Driver Fatigue Alert; Rear View Camera
Ford Puma Gen-E,SUV,Single Electric Motor Front (168 HP / 253 lb-ft torque),Single-Speed Automatic (EV),Electric,25,400,km/charge,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pedestrian Detection; Traffic Sign Recognition; Driver Fatigue Alert
Ford Territory,SUV,1.5L EcoBoost I3 (160 HP / 185 lb-ft torque),CVT Automatic,Petrol,25,14,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Lane Departure Warning; Adaptive Cruise Control; Rear View Camera
Ford F-Series,Pickup Truck,3.5L EcoBoost V6 (400 HP / 500 lb-ft torque) or 5.0L Coyote V8 (400 HP) or 3.5L PowerBoost V6 Hybrid (430 HP),10-speed Automatic,Petrol,60,6,km/l,5,4WD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pro-Trailer Backup Assist; 360-Degree Camera; Post-Collision Braking
Ford Ranger,Pickup Truck,2.3L EcoBoost I4 (270 HP / 310 lb-ft torque) or 2.0L Bi-Turbo I4 Diesel (210 HP / 370 lb-ft torque),10-speed Automatic,Diesel,35,13,km/l,5,4WD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pro-Trailer Backup Assist; Adaptive Cruise Control; Rear View Camera
Ford Maverick,Pickup Truck,2.5L Atkinson-Cycle I4 Hybrid (191 HP / 155 lb-ft torque) or 2.0L EcoBoost I4 (250 HP / 277 lb-ft torque),eCVT / 8-speed Automatic,Hybrid,30,20,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear Cross-Traffic Alert; Adaptive Cruise Control; Rear View Camera
Ford Transit (Pickup),Pickup Truck,2.0L EcoBlue I4 Diesel (130 HP or 170 HP / 385 lb-ft torque),6-speed Manual / 6-speed Automatic,Diesel,32,12,km/l,3,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Lane Departure Warning; Driver Fatigue Alert; Crosswind Stability Control
Ford Tourneo Courier,MPV,1.0L EcoBoost I3 (125 HP / 170 lb-ft torque) or 1.5L EcoBlue I4 Diesel (100 HP),6-speed Manual / 7-speed Automatic,Petrol,22,17,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Lane Departure Warning; Adaptive Cruise Control; Rear View Camera
Ford Tourneo Connect,MPV,1.5L EcoBoost I4 (114 HP) or 2.0L TDI I4 Diesel (122 HP),7-speed DSG Automatic / 6-speed Manual,Diesel,28,15,km/l,7,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pedestrian Detection; Adaptive Cruise Control; Driver Fatigue Alert
Ford Tourneo Custom,MPV,2.0L EcoBlue I4 Diesel (170 HP / 390 lb-ft torque) or 2.5L Duratec PHEV (232 HP),8-speed Automatic,Diesel,35,14,km/l,8,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Evasive Steering Assist; 360-Degree Camera; Adaptive Cruise Control
Ford Transit City,Van,2.0L EcoBlue I4 Diesel (150 HP / 360 lb-ft torque),6-speed Manual / 8-speed Automatic,Diesel,30,13,km/l,3,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Lane Departure Warning; Driver Fatigue Alert; Rear View Camera
Ford Transit Courier,Van,1.0L EcoBoost I3 (100 HP / 170 lb-ft torque) or 1.5L EcoBlue I4 Diesel (100 HP),6-speed Manual / 7-speed Automatic,Petrol,20,17,km/l,2,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear Cross-Traffic Alert; Driver Fatigue Alert; Rear View Camera
Ford Transit Connect,Van,1.5L EcoBlue I4 Diesel (100 HP or 120 HP / 270 lb-ft torque),6-speed Manual / 8-speed Automatic,Diesel,28,15,km/l,2,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Lane Departure Warning; Adaptive Cruise Control; Rear View Camera
Ford Transit Custom,Van,2.0L EcoBlue I4 Diesel (130 HP or 170 HP / 390 lb-ft torque) or 2.5L Duratec PHEV (232 HP),6-speed Manual / 8-speed Automatic,Diesel,35,14,km/l,3,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Evasive Steering Assist; Driver Fatigue Alert; Crosswind Stability Control
Ford Transit,Van,2.0L EcoBlue I4 Diesel (130 HP or 170 HP / 415 lb-ft torque) or Electric Motor (269 HP),6-speed Manual / 10-speed Automatic,Diesel,40,13,km/l,3,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Trailer Stability Control; Driver Fatigue Alert; Crosswind Stability Control
Ford F-MAX,Heavy-Duty Truck,12.7L EcoTorq I6 Diesel (500 HP / 2500 lb-ft torque),12-speed Automated Manual (AMT),Diesel,80,5,km/l,2,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Adaptive Cruise Control; Driver Fatigue Alert; Electronic Stability Control (ESC)
Ford Transit Cutaway,Commercial Chassis,2.0L EcoBlue I4 Diesel (170 HP / 390 lb-ft torque),6-speed Manual / 10-speed Automatic,Diesel,35,12,km/l,2,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear View Camera; Driver Fatigue Alert; Electronic Stability Control (ESC)
Ford E-Series Cutaway,Commercial Chassis,6.8L Triton V10 Petrol (305 HP / 460 lb-ft torque) or 7.3L Godzilla V8 Petrol (350 HP),6-speed TorqShift Automatic,Petrol,45,7,km/l,2,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear View Camera; Trailer Stability Control; Electronic Stability Control (ESC)
Ford F-Series (Medium Duty),Commercial Chassis,6.7L Power Stroke V8 Diesel (330 HP / 750 lb-ft torque),6-speed TorqShift Automatic,Diesel,70,6,km/l,3,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pro-Trailer Backup Assist; Trailer Stability Control; Electronic Stability Control (ESC)
Ford Super Duty,Pickup Truck,6.7L Power Stroke V8 Diesel (500 HP / 1200 lb-ft torque) or 7.3L Godzilla V8 Petrol (430 HP),10-speed TorqShift Automatic,Diesel,75,6,km/l,3,4WD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pro-Trailer Backup Assist; 360-Degree Camera; Electronic Stability Control (ESC)
